parid,boro,block,lot,exmp_code,year,period,benftstart,condo_number,condo_sfx,coop_num,description,phase_out_start,benefit_year,exmp_end,current_benefit_year,flag_421a16,flag_phasing
1007610043,1,761,43,5116,2026,3,2012,NA,NA,0,421A 20 YR NO CAP,13,20,2031,15,No,Yes
1007620060,1,762,60,5116,2026,3,2015,NA,NA,0,421A 20 YR NO CAP,13,20,2034,12,No,No
1007750044,1,775,44,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1007750046,1,775,46,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1007780018,1,778,18,5123,2026,3,2024,NA,NA,0,421A 35 YR,NA,35,2058,3,Yes,NA
1007790027,1,779,27,5121,2026,3,2018,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2052,9,Yes,NA
1007790031,1,779,31,5121,2026,3,2021,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2055,6,Yes,NA
1007950001,1,795,1,5116,2024,3,2004,NA,NA,0,421A 20 YR NO CAP,13,20,2023,Expired,No,NA
1007970007,1,797,7,5116,2026,3,2010,NA,NA,0,421A 20 YR NO CAP,13,20,2029,17,No,Yes
1008230017,1,823,17,5110,2021,3,2011,NA,NA,0,421A 10 YR NO CAP,3,10,2020,Expired,No,NA
1008260001,1,826,1,5116,2022,3,2002,NA,NA,0,421A 20 YR NO CAP,13,20,2021,Expired,No,NA
1008270001,1,827,1,5116,2026,3,2009,NA,NA,0,421A 20 YR NO CAP,13,20,2028,18,No,Yes
1008290001,1,829,1,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1008340069,1,834,69,5116,2026,3,2020,NA,NA,0,421A 20 YR NO CAP,13,20,2039,7,No,No
1008350015,1,835,15,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1008600008,1,860,8,5121,2026,3,2024,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2058,3,Yes,NA
1008610004,1,861,4,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1008610059,1,861,59,5121,2026,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1008640028,1,864,28,5110,2021,3,2011,NA,NA,0,421A 10 YR NO CAP,3,10,2020,Expired,No,NA
1008790026,1,879,26,5116,2021,3,2001,NA,NA,0,421A 20 YR NO CAP,13,20,2020,Expired,No,NA
1008810060,1,881,60,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1008860063,1,886,63,5116,2024,3,2004,NA,NA,0,421A 20 YR NO CAP,13,20,2023,Expired,No,NA
1008890019,1,889,19,5117,2026,3,2020,NA,NA,0,421A 10 YR CAP,3,10,2029,7,No,Yes
1009030057,1,903,57,5121,2026,3,2024,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2058,3,Yes,NA
1009190005,1,919,5,5117,2021,3,2018,NA,NA,0,421A 10 YR CAP,3,10,2027,9,No,Yes
1009190014,1,919,14,5116,2021,3,2001,NA,NA,0,421A 20 YR NO CAP,13,20,2020,Expired,No,NA
1009190058,1,919,58,5116,2026,3,2017,NA,NA,0,421A 20 YR NO CAP,13,20,2036,10,No,No
1009190059,1,919,59,5116,2026,3,2017,NA,NA,0,421A 20 YR NO CAP,13,20,2036,10,No,No
1009200013,1,920,13,5116,2026,3,2019,NA,NA,0,421A 20 YR NO CAP,13,20,2038,8,No,No
1009270037,1,927,37,5116,2026,3,2011,NA,NA,0,421A 20 YR NO CAP,13,20,2030,16,No,Yes
1009440045,1,944,45,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1009670001,1,967,1,5116,2026,3,2019,NA,NA,0,421A 20 YR NO CAP,13,20,2038,8,No,No
1010190001,1,1019,1,5116,2025,3,2005,NA,NA,0,421A 20 YR NO CAP,13,20,2024,Expired,No,NA
1010210001,1,1021,1,5120,2026,3,2020,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2054,7,Yes,NA
1010330001,1,1033,1,5116,2025,3,2005,NA,NA,0,421A 20 YR NO CAP,13,20,2024,Expired,No,NA
1010330009,1,1033,9,5116,2025,3,2005,NA,NA,0,421A 20 YR NO CAP,13,20,2024,Expired,No,NA
1010330109,1,1033,109,5116,2024,3,2004,NA,NA,0,421A 20 YR NO CAP,13,20,2023,Expired,No,NA
1010450006,1,1045,6,5117,2026,3,2018,NA,NA,0,421A 10 YR CAP,3,10,2027,9,No,Yes
1010450012,1,1045,12,5116,2024,3,2004,NA,NA,0,421A 20 YR NO CAP,13,20,2023,Expired,No,NA
1010640036,1,1064,36,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1010680003,1,1068,3,5120,2026,3,2019,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2053,8,Yes,NA
1010700029,1,1070,29,5116,2026,3,2006,NA,NA,0,421A 20 YR NO CAP,13,20,2025,Expired,No,NA
1010710042,1,1071,42,5120,2026,3,2021,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2055,6,Yes,NA
